"local","parcela","arvore","fuste","cap","h","especie"
"chauas",2,95,1,240,100,"Myrcia sulfiflora"
"chauas",2,95,2,200,100,"Myrcia sulfiflora"
"chauas",2,96,1,250,110,"Myrcia sulfiflora"
"chauas",2,96,2,280,110,"Myrcia sulfiflora"
"chauas",2,96,3,220,110,"Myrcia sulfiflora"
"chauas",2,96,4,200,110,"Myrcia sulfiflora"
"chauas",2,97,1,230,40,"Tabebuia cassinoides"
"chauas",2,98,1,170,50,"Myrcia sulfiflora"
"chauas",2,99,1,270,100,"Tabebuia cassinoides"
"chauas",2,99,2,290,100,"Tabebuia cassinoides"
"chauas",2,100,1,200,50,"Myrcia sulfiflora"
"chauas",2,100,2,200,50,"Myrcia sulfiflora"
"chauas",2,101,1,180,40,"Tabebuia cassinoides"
"chauas",2,102,1,210,80,"Tabebuia cassinoides"
"chauas",2,102,1,220,80,"Tabebuia cassinoides"
"chauas",2,103,1,230,100,"Myrcia sulfiflora"
"chauas",2,103,2,260,100,"Myrcia sulfiflora"
"chauas",2,103,3,190,100,"Myrcia sulfiflora"
"chauas",3,104,1,340,100,"Tabebuia cassinoides"
"chauas",3,105,1,270,80,"Tabebuia cassinoides"
"chauas",3,105,1,230,80,"Tabebuia cassinoides"
"chauas",3,106,1,300,90,"Tabebuia cassinoides"
"chauas",3,106,2,250,90,"Tabebuia cassinoides"
"chauas",3,107,1,460,80,"Tabebuia cassinoides"
"chauas",3,108,1,240,100,"Tabebuia cassinoides"
"chauas",3,108,2,150,100,"Tabebuia cassinoides"
"chauas",3,109,1,190,40,"Tabebuia cassinoides"
"chauas",3,110,1,260,80,"Tabebuia cassinoides"
"chauas",3,111,1,360,70,"Tabebuia cassinoides"
"chauas",3,111,2,250,70,"Tabebuia cassinoides"
"chauas",3,112,1,330,60,"Tabebuia cassinoides"
"chauas",3,112,2,160,60,"Tabebuia cassinoides"
"chauas",3,113,1,560,110,"Tabebuia cassinoides"
"chauas",3,114,1,220,70,"Tabebuia cassinoides"
"chauas",3,114,2,280,70,"Tabebuia cassinoides"
"chauas",3,115,1,270,90,"Tabebuia cassinoides"
"chauas",3,115,2,220,90,"Tabebuia cassinoides"
"chauas",3,116,1,190,40,"Myrcia sulfiflora"
"chauas",3,117,1,300,40,"Myrcia sulfiflora"
"chauas",3,118,1,280,60,"Tabebuia cassinoides"
"chauas",3,119,1,340,60,"Tabebuia cassinoides"
"chauas",3,120,1,340,70,"Tabebuia cassinoides"
"chauas",3,121,1,400,110,"Tabebuia cassinoides"
"chauas",3,122,1,260,50,"Tabebuia cassinoides"
"chauas",3,123,1,260,70,"Tabebuia cassinoides"
"chauas",3,123,1,290,70,"Tabebuia cassinoides"
"chauas",3,124,1,550,90,"Myrcia sulfiflora"
"chauas",3,125,1,270,60,"Tabebuia cassinoides"
"chauas",3,125,1,210,60,"Tabebuia cassinoides"
"chauas",3,126,1,280,80,"Myrcia sulfiflora"
"chauas",3,127,1,190,70,"Tabebuia cassinoides"
"chauas",3,127,2,200,70,"Tabebuia cassinoides"
"chauas",3,128,1,330,120,"Tabebuia cassinoides"
"chauas",3,128,1,310,120,"Tabebuia cassinoides"
"chauas",3,129,1,260,80,"Tabebuia cassinoides"
"chauas",3,129,1,230,80,"Tabebuia cassinoides"
"chauas",3,130,1,230,90,"Tabebuia cassinoides"
"chauas",3,130,2,170,90,"Tabebuia cassinoides"
"chauas",3,131,1,280,50,"Tabebuia cassinoides"
"chauas",3,132,1,290,60,"Tabebuia cassinoides"
"chauas",3,132,2,160,60,"Tabebuia cassinoides"
"chauas",3,133,1,410,90,"Myrcia sulfiflora"
"chauas",3,134,1,230,70,"Tabebuia cassinoides"
"chauas",3,134,2,190,70,"Tabebuia cassinoides"
"chauas",3,135,1,340,110,"Tabebuia cassinoides"
"chauas",3,136,1,160,90,"Tabebuia cassinoides"
"chauas",3,136,2,360,90,"Tabebuia cassinoides"
"chauas",3,137,1,150,60,"Myrcia sulfiflora"
"chauas",3,138,1,350,60,"Tabebuia cassinoides"
"chauas",3,138,2,160,60,"Tabebuia cassinoides"
"chauas",3,138,3,150,60,"Tabebuia cassinoides"
"chauas",3,139,1,310,120,"Tabebuia cassinoides"
"chauas",3,139,2,160,120,"Tabebuia cassinoides"
"chauas",3,139,3,150,120,"Tabebuia cassinoides"
"chauas",3,140,1,200,50,"Tabebuia cassinoides"
"chauas",3,140,2,190,50,"Tabebuia cassinoides"
"chauas",3,140,3,300,50,"Tabebuia cassinoides"
"chauas",3,141,1,320,110,"Tabebuia cassinoides"
"chauas",3,141,2,320,110,"Tabebuia cassinoides"
"chauas",3,142,1,260,40,"Tabebuia cassinoides"
"chauas",3,142,2,160,40,"Tabebuia cassinoides"
"chauas",3,143,1,210,60,"Tabebuia cassinoides"
"chauas",3,143,2,190,60,"Tabebuia cassinoides"
"chauas",3,144,1,260,70,"Myrcia sulfiflora"
"chauas",3,145,1,260,110,"Tabebuia cassinoides"
"chauas",3,145,2,330,110,"Tabebuia cassinoides"
"chauas",3,146,1,250,50,"Tabebuia cassinoides"
"chauas",3,147,1,730,110,"Callophyllum brasiliensis"
"chauas",3,148,1,350,120,"Myrcia sulfiflora"
"chauas",3,149,1,310,80,"Tabebuia cassinoides"
"chauas",3,150,1,170,50,"Myrcia sulfiflora"
"chauas",3,151,1,620,100,"Tabebuia cassinoides"
"chauas",3,151,2,340,100,"Tabebuia cassinoides"
"chauas",3,152,1,160,50,"Tabebuia cassinoides"
"chauas",3,153,1,310,50,"Tabebuia cassinoides"
"chauas",3,154,1,450,130,"Tabebuia cassinoides"
"chauas",3,155,1,890,120,"Callophyllum brasiliensis"
"chauas",3,156,1,340,100,"Tabebuia cassinoides"
"chauas",3,156,2,190,100,"Tabebuia cassinoides"
"chauas",3,156,3,190,100,"Tabebuia cassinoides"
"chauas",3,156,4,180,100,"Tabebuia cassinoides"
"chauas",3,157,1,530,110,"Tabebuia cassinoides"
"chauas",3,158,1,280,90,"Tabebuia cassinoides"
"chauas",3,158,2,180,90,"Tabebuia cassinoides"
"chauas",3,159,1,540,120,"Tabebuia cassinoides"
"chauas",3,160,1,180,50,"Tabebuia cassinoides"
"chauas",3,161,1,170,50,"Tabebuia cassinoides"
"chauas",3,162,1,520,100,"Callophyllum brasiliensis"
"chauas",3,163,1,290,100,"Tabebuia cassinoides"
"chauas",3,164,1,190,40,"Tabebuia cassinoides"
"chauas",3,164,2,260,40,"Tabebuia cassinoides"
"chauas",3,164,3,170,40,"Tabebuia cassinoides"
"chauas",3,165,1,440,120,"Tabebuia cassinoides"
"chauas",3,166,1,200,90,"Tabebuia cassinoides"
"chauas",3,166,2,200,90,"Tabebuia cassinoides"
"chauas",3,166,3,280,90,"Tabebuia cassinoides"
"chauas",3,166,4,280,90,"Tabebuia cassinoides"
"chauas",3,167,1,240,90,"Tabebuia cassinoides"
"chauas",3,168,1,210,100,"Tabebuia cassinoides"
"chauas",3,168,2,410,100,"Tabebuia cassinoides"
"chauas",3,168,3,190,100,"Tabebuia cassinoides"
"chauas",3,168,4,220,100,"Tabebuia cassinoides"
"chauas",3,169,1,280,100,"Tabebuia cassinoides"
"chauas",3,169,2,330,100,"Tabebuia cassinoides"
"chauas",3,170,1,180,40,"Tabebuia cassinoides"
"chauas",4,171,1,170,80,"Tabebuia cassinoides"
"chauas",4,171,2,230,80,"Tabebuia cassinoides"
"chauas",4,171,3,170,80,"Tabebuia cassinoides"
"chauas",4,172,1,230,90,"Tabebuia cassinoides"
"chauas",4,173,1,220,100,"Myrcia sulfiflora"
"chauas",4,173,2,230,100,"Myrcia sulfiflora"
"chauas",4,174,1,200,90,"Myrcia sulfiflora"
"chauas",4,175,1,210,100,"Tabebuia cassinoides"
"chauas",4,176,1,150,90,"Myrcia sulfiflora"
"chauas",4,177,1,160,80,"Tabebuia cassinoides"
"chauas",4,177,2,170,80,"Tabebuia cassinoides"
"chauas",4,177,3,180,80,"Tabebuia cassinoides"
"chauas",4,178,1,300,60,"Myrcia sulfiflora"
"chauas",4,179,1,190,90,"Myrcia sulfiflora"
"chauas",4,180,1,190,80,"Tabebuia cassinoides"
"chauas",4,180,2,150,80,"Tabebuia cassinoides"
"chauas",4,181,1,180,70,"Tabebuia cassinoides"
"chauas",4,182,1,350,170,"Myrcia sulfiflora"
"chauas",4,182,1,330,170,"Myrcia sulfiflora"
"chauas",4,183,1,160,60,"Tabebuia cassinoides"
"chauas",4,184,1,240,80,"Myrcia sulfiflora"
"chauas",4,185,1,280,140,"Myrcia sulfiflora"
"chauas",4,186,1,930,200,"Callophyllum brasiliensis"
"chauas",4,187,1,190,120,"Myrcia sulfiflora"
"chauas",4,188,1,270,120,"Myrcia sulfiflora"
"chauas",4,189,1,240,60,"Tabebuia cassinoides"
"chauas",4,189,2,240,60,"Tabebuia cassinoides"
"chauas",4,189,3,150,60,"Tabebuia cassinoides"
"chauas",4,189,4,160,60,"Tabebuia cassinoides"
"chauas",4,189,5,380,60,"Tabebuia cassinoides"
"chauas",4,190,1,340,90,"Tabebuia cassinoides"
"chauas",4,191,1,330,70,"Tabebuia cassinoides"
"chauas",4,192,1,270,150,"Tabebuia cassinoides"
"chauas",4,192,2,200,150,"Tabebuia cassinoides"
"chauas",4,193,1,330,70,"Myrcia sulfiflora"
"chauas",4,194,1,330,110,"Myrcia sulfiflora"
"chauas",4,194,2,290,110,"Myrcia sulfiflora"
"chauas",4,195,1,370,60,"Tabebuia cassinoides"
"chauas",4,195,2,330,60,"Tabebuia cassinoides"
"chauas",4,195,3,230,60,"Tabebuia cassinoides"
"chauas",4,195,4,240,60,"Tabebuia cassinoides"
"chauas",4,196,1,350,120,"Myrcia sulfiflora"
"chauas",4,197,1,290,50,"Tabebuia cassinoides"
"chauas",4,197,2,300,50,"Tabebuia cassinoides"
"chauas",4,198,1,270,40,"Myrcia sulfiflora"
"chauas",4,199,1,1130,190,"Callophyllum brasiliensis"
"chauas",4,200,1,170,70,"Tabebuia cassinoides"
"chauas",4,201,1,250,150,"Tabebuia cassinoides"
"chauas",4,202,1,190,60,"Tabebuia cassinoides"
"chauas",4,203,1,210,100,"Myrcia sulfiflora"
"chauas",4,204,1,260,50,"Tabebuia cassinoides"
"chauas",4,205,1,250,100,"Tabebuia cassinoides"
"chauas",4,206,1,260,80,"Myrcia sulfiflora"
"chauas",4,207,1,270,90,"Myrcia sulfiflora"
"chauas",4,208,1,350,120,"Myrcia sulfiflora"
"chauas",4,208,2,400,120,"Myrcia sulfiflora"
"chauas",4,208,3,370,120,"Myrcia sulfiflora"
"chauas",4,208,4,210,120,"Myrcia sulfiflora"
"chauas",4,209,1,730,130,"Myrcia sulfiflora"
"chauas",4,210,1,690,130,"Myrcia sulfiflora"
"chauas",4,211,1,300,100,"Tabebuia cassinoides"
"chauas",4,211,2,240,100,"Tabebuia cassinoides"
"chauas",4,211,3,220,100,"Tabebuia cassinoides"
"chauas",4,212,1,160,50,"Myrcia sulfiflora"
"chauas",4,213,1,170,70,"Myrcia sulfiflora"
"chauas",4,214,1,250,80,"indet.3"
"chauas",4,215,1,260,100,"Myrcia sulfiflora"
"chauas",4,216,1,260,50,"Tabebuia cassinoides"
"chauas",4,216,2,280,50,"Tabebuia cassinoides"
"chauas",4,217,1,460,130,"Myrcia sulfiflora"
"chauas",4,218,1,280,50,"Tabebuia cassinoides"
"chauas",4,218,2,160,50,"Tabebuia cassinoides"
"chauas",4,219,1,200,20,"Tabebuia cassinoides"
"chauas",4,219,2,160,20,"Tabebuia cassinoides"
"chauas",4,220,1,450,130,"Tabebuia cassinoides"
"chauas",4,221,1,210,80,"Tabebuia cassinoides"
"chauas",4,222,1,220,30,"Tabebuia cassinoides"
"chauas",5,223,1,350,120,"Tabebuia cassinoides"
"chauas",5,224,1,360,110,"Tabebuia cassinoides"
"chauas",5,225,1,570,130,"Tabebuia cassinoides"
"chauas",5,226,1,280,70,"Myrcia sulfiflora"
"chauas",5,227,1,230,50,"Myrcia sulfiflora"
"chauas",5,228,1,260,90,"Tabebuia cassinoides"
"chauas",5,229,1,180,40,"Myrcia sulfiflora"
"chauas",5,230,1,530,120,"Tabebuia cassinoides"
"chauas",5,231,1,330,40,"Tabebuia cassinoides"
"chauas",5,232,1,130,480,"Tabebuia cassinoides"
"chauas",5,233,1,340,70,"Tabebuia cassinoides"
"chauas",5,234,1,200,60,"Myrcia sulfiflora"
"chauas",5,235,1,400,90,"Tabebuia cassinoides"
"chauas",5,236,1,290,100,"Tabebuia cassinoides"
"chauas",5,237,1,290,60,"Tabebuia cassinoides"
"chauas",5,238,1,310,110,"Tabebuia cassinoides"
"chauas",5,239,1,200,50,"Myrcia sulfiflora"
"chauas",5,240,1,450,140,"Tabebuia cassinoides"
"chauas",5,241,1,350,100,"Tabebuia cassinoides"
"chauas",5,242,1,510,140,"Tabebuia cassinoides"
"chauas",5,243,1,340,110,"Tabebuia cassinoides"
"chauas",5,244,1,220,120,"Myrcia sulfiflora"
"chauas",5,244,2,210,120,"Myrcia sulfiflora"
"chauas",5,245,1,1120,140,"Callophyllum brasiliensis"
"chauas",5,246,1,540,100,"Tabebuia cassinoides"
"chauas",5,247,1,360,130,"Tabebuia cassinoides"
"chauas",5,248,1,220,110,"Myrcia sulfiflora"
"chauas",5,249,1,360,120,"Tabebuia cassinoides"
"chauas",5,250,1,190,50,"Myrcia sulfiflora"
"chauas",5,251,1,360,130,"Myrcia sulfiflora"
"chauas",5,252,1,390,140,"Tabebuia cassinoides"
"chauas",5,253,1,310,70,"Tabebuia cassinoides"
"chauas",5,254,1,290,50,"Tabebuia cassinoides"
"chauas",5,255,1,290,100,"Tabebuia cassinoides"
"chauas",5,255,1,210,100,"Tabebuia cassinoides"
"chauas",5,256,1,220,100,"Tabebuia cassinoides"
"chauas",5,257,1,410,90,"Tabebuia cassinoides"
"chauas",5,258,1,230,80,"Tabebuia cassinoides"
"chauas",5,258,2,480,80,"Tabebuia cassinoides"
"chauas",5,259,1,230,80,"Myrcia sulfiflora"
"chauas",5,260,1,290,60,"Tabebuia cassinoides"
"chauas",5,261,1,180,80,"Tabebuia cassinoides"
"chauas",5,261,2,230,80,"Tabebuia cassinoides"
"chauas",5,262,1,220,80,"Tabebuia cassinoides"
"chauas",5,263,1,270,70,"Tabebuia cassinoides"
"chauas",5,264,1,290,100,"Myrcia sulfiflora"
"chauas",5,265,1,230,130,"Myrcia sulfiflora"
"chauas",5,266,1,510,150,"Tabebuia cassinoides"
"chauas",5,267,1,510,150,"Tabebuia cassinoides"
"chauas",5,268,1,480,140,"Myrcia sulfiflora"
"chauas",5,269,1,530,120,"Tabebuia cassinoides"
"chauas",5,270,1,410,140,"Tabebuia cassinoides"
"chauas",5,271,1,480,100,"Tabebuia cassinoides"
"chauas",5,272,1,370,140,"Tabebuia cassinoides"
"chauas",5,273,1,250,90,"Myrcia sulfiflora"
"chauas",5,274,1,330,140,"Tabebuia cassinoides"
"chauas",5,275,1,300,80,"Myrcia sulfiflora"
"chauas",5,276,1,180,40,"Tabebuia cassinoides"
"chauas",5,277,1,460,130,"Tabebuia cassinoides"
"chauas",5,278,1,390,150,"Tabebuia cassinoides"
"chauas",5,279,1,300,140,"Tabebuia cassinoides"
"chauas",5,280,1,510,120,"Tabebuia cassinoides"
"chauas",5,281,1,420,90,"Tabebuia cassinoides"
"chauas",5,282,1,390,120,"Tabebuia cassinoides"
"chauas",5,283,1,710,150,"Tabebuia cassinoides"
"chauas",5,284,1,360,70,"Tabebuia cassinoides"
"chauas",5,285,1,180,80,"Myrcia sulfiflora"
"chauas",5,286,1,310,70,"Tabebuia cassinoides"
"chauas",5,286,2,370,70,"Tabebuia cassinoides"
"chauas",5,287,1,790,150,"Tabebuia cassinoides"
"chauas",5,288,1,500,140,"Tabebuia cassinoides"
"chauas",5,289,1,470,90,"Tabebuia cassinoides"
"chauas",5,290,1,410,150,"Myrcia sulfiflora"
"chauas",5,291,1,240,100,"Myrcia sulfiflora"
"jureia",1,1,1,980,150,"Tabebuia cassinoides"
"jureia",1,2,1,430,140,"Cabralea canjerana"
"jureia",1,3,1,370,100,"Tabebuia cassinoides"
"jureia",1,4,1,720,150,"Cabralea canjerana"
"jureia",1,5,1,370,110,"jussara"
"jureia",1,6,1,740,140,"Calophyllum brasiliensis"
"jureia",1,7,1,390,120,"jussara"
"jureia",1,8,1,170,100,"Pisonia sp"
"jureia",1,9,1,370,130,"Matayba sp"
"jureia",1,10,1,270,100,"Pera glabrata"
"jureia",1,11,1,330,90,"Cabralea canjerana"
"jureia",1,12,1,320,140,"jussara"
"jureia",1,13,1,240,60,"jussara"
"jureia",1,14,1,260,150,"jussara"
"jureia",1,15,1,290,70,"Psidium sp"
"jureia",1,16,1,260,100,"Tabebuia cassinoides"
"jureia",1,17,1,670,150,"Tabebuia cassinoides"
"jureia",1,18,1,230,150,"jussara"
"jureia",1,19,1,270,130,"Persea sp"
"jureia",1,20,1,300,140,"jussara"
"jureia",1,21,1,280,80,"jussara"
"jureia",1,22,1,590,170,"Tabebuia cassinoides"
"jureia",1,23,1,540,100,"Tabebuia cassinoides"
"jureia",1,24,1,330,150,"jussara"
"jureia",1,25,1,400,110,"Tabebuia cassinoides"
"jureia",1,26,1,1170,200,"Tabebuia cassinoides"
"jureia",1,27,1,680,150,"Tabebuia cassinoides"
"jureia",1,28,1,1050,220,"Tabebuia cassinoides"
"jureia",1,29,1,280,80,"Tabebuia cassinoides"
"jureia",1,30,1,400,120,"jussara"
"jureia",1,31,1,320,100,"jussara"
"jureia",1,32,1,300,90,"jussara"
"jureia",1,33,1,640,150,"Tabebuia cassinoides"
"jureia",1,34,1,250,70,"jussara"
"jureia",1,35,1,500,110,"Persea sp"
"jureia",1,36,1,720,140,"Tabebuia cassinoides"
"jureia",1,37,1,440,100,"Tabebuia cassinoides"
"jureia",1,38,1,550,130,"Ficus sp"
"jureia",1,39,1,620,160,"Tabebuia cassinoides"
"jureia",1,40,1,200,70,"jussara"
"jureia",2,41,1,340,100,"Tabebuia cassinoides"
"jureia",2,42,1,310,90,"jussara"
"jureia",2,43,1,420,160,"jussara"
"jureia",2,44,1,380,150,"bombacaceae"
"jureia",2,45,1,810,120,"Tabebuia cassinoides"
"jureia",2,46,1,170,80,"Coussapoa macrocarpa"
"jureia",2,47,1,300,80,"jussara"
"jureia",2,48,1,180,30,"jussara"
"jureia",2,49,1,610,180,"Tabebuia cassinoides"
"jureia",2,50,1,240,90,"jussara"
"jureia",2,51,1,360,170,"Tabebuia cassinoides"
"jureia",2,51,2,480,170,"Tabebuia cassinoides"
"jureia",2,51,3,350,170,"Tabebuia cassinoides"
"jureia",2,51,4,600,170,"Tabebuia cassinoides"
"jureia",2,52,1,300,70,"Tabebuia cassinoides"
"jureia",2,53,1,510,120,"Tabebuia cassinoides"
"jureia",2,53,2,310,120,"Tabebuia cassinoides"
"jureia",2,53,3,670,120,"Tabebuia cassinoides"
"jureia",2,54,1,630,110,"Pisonia sp"
"jureia",2,55,1,370,120,"jussara"
"jureia",2,56,1,330,150,"jussara"
"jureia",2,57,1,840,120,"Alchornea triplinervia"
"jureia",2,58,1,350,140,"Tabebuia cassinoides"
"jureia",2,58,2,800,140,"Tabebuia cassinoides"
